id,source_id,set_id,updated_at
onepiece:optcg:P-059:ja,P-059,P,2026-06-15 17:15:57.479419+00
onepiece:optcg:P-060:ja,P-060,P,2026-06-15 17:15:57.479419+00
onepiece:optcg:P-061:ja,P-061,P,2026-06-15 17:15:57.479419+00
onepiece:optcg:P-062:ja,P-062,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-062:en,P-062,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-063:en,P-063,P,2026-05-29 14:57:08.108+00
onepiece:optcg:P-064:en,P-064,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-065:ja,P-065,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-065:en,P-065,P,2026-05-29 14:57:08.108+00
onepiece:optcg:P-066:en,P-066,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-067:en,P-067,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-068:ja,P-068,P,2026-06-15 22:12:12.512018+00
onepiece:optcg:P-068:en,P-068,P,2026-05-29 14:57:08.108+00
onepiece:optcg:P-069:en,P-069,P,2026-05-29 14:57:08.108+00
onepiece:optcg:P-069:ja,P-069,P,2026-06-15 22:12:12.512018+00
onepiece:optcg:P-070:ja,P-070,P,2026-06-15 22:12:12.512018+00
onepiece:optcg:P-070:en,P-070,P,2026-05-29 14:57:08.108+00
onepiece:optcg:P-071:en,P-071,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-071:ja,P-071,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-072:en,P-072,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-073:en,P-073,P,2026-05-29 14:57:08.108+00
onepiece:optcg:P-074:en,P-074,P,2026-05-29 14:57:08.108+00
onepiece:optcg:P-075:en,P-075,P,2026-05-29 14:57:08.108+00
onepiece:optcg:P-076:ja,P-076,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-076:en,P-076,P,2026-05-29 14:57:08.108+00
onepiece:optcg:P-077:en,P-077,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-077:ja,P-077,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-078:en,P-078,P,2026-05-29 14:57:08.108+00
onepiece:optcg:P-078:ja,P-078,P,2026-06-15 22:12:12.512018+00
onepiece:optcg:P-079:en,P-079,P,2026-05-29 14:57:08.108+00
onepiece:optcg:P-079:ja,P-079,P,2026-06-15 22:12:12.512018+00
onepiece:optcg:P-080:en,P-080,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-081:en,P-081,P,2026-05-29 14:57:08.108+00
onepiece:optcg:P-081:ja,P-081,P,2026-06-15 22:12:12.512018+00
onepiece:optcg:P-082:en,P-082,P,2026-05-29 14:57:08.108+00
onepiece:optcg:P-082:ja,P-082,P,2026-06-15 22:12:12.512018+00
onepiece:optcg:P-083:ja,P-083,P,2026-06-15 22:12:12.512018+00
onepiece:optcg:P-083:en,P-083,P,2026-05-29 14:57:08.108+00
onepiece:optcg:P-084:ja,P-084,P,2026-06-15 17:15:48.424009+00
onepiece:optcg:P-085:ja,P-085,P,2026-06-15 22:12:12.512018+00
onepiece:optcg:P-085:en,P-085,P,2026-05-29 14:57:08.108+00
onepiece:optcg:P-086:en,P-086,P,2026-05-29 14:57:08.108+00
